rule_id,dataset,record_key,severity,issue_description,suggested_action
DQ005,orders,O1019,High,invalid customer_key=C999,Quarantine order; repair customer_key via MDM lookup
DQ006,orders,O1020,High,invalid product_key=P999,Quarantine order; repair product_key in catalog
DQ007,orders,O1030,High,completed order quantity=-1,Hold completed order with non-positive quantity for ops review
DQ008,orders,O1021,High,order_total=50.0 calculated=44.0 variance=6.0,Reconcile order_total vs qty*unit_price; correct pricing feed
DQ009,payments,PMT029,High,orphan order_key=O9999,Reject orphan payment or create missing order if legitimate
DQ010,payments,PMT021,High,settled amount=44.0 order_total=50.0 order=O1021,Investigate settled amount vs completed order total mismatch
DQ014,orders,O1024,High,completed order missing settled payment,Create or locate the missing payment before closing the order
DQ015,payments,PMT019,High,payment references order excluded from fact_order: O1019,Hold payment in the audit layer until the related order keys are repaired
DQ015,payments,PMT020,High,payment references order excluded from fact_order: O1020,Hold payment in the audit layer until the related order keys are repaired
TRANSFORM_DEDUP_CUSTOMER,customers,C006,High,Duplicate customer_id dropped; kept earliest/most-complete row,Merge profiles in source MDM and retain single survivor key
TRANSFORM_DEDUP_ORDER,orders,O1018,High,Duplicate order_id dropped,Investigate source double-write; keep single canonical order row
DQ011,support_tickets,T010,Medium,unparseable created_ts=bad_timestamp,Fix malformed ticket timestamp in source system
DQ012,support_tickets,T005,Medium,invalid customer_key=C999,Link ticket to valid customer_key or quarantine
DQ013,orders,O1015,Medium,completed order uses inactive product P011,Flag completed sales of inactive products for catalog review
INFO_FUZZY_CUSTOMER_PHONE,customers,C001,Medium,shared phone 312-555-0101 with other customer_id(s); not merged,Review for customer-360 merge; keep separate keys until confirmed
INFO_FUZZY_CUSTOMER_PHONE,customers,C016,Medium,shared phone 312-555-0101 with other customer_id(s); not merged,Review for customer-360 merge; keep separate keys until confirmed
INFO_FUZZY_CUSTOMER_PHONE,customers,C019,Medium,shared phone 312-555-0101 with other customer_id(s); not merged,Review for customer-360 merge; keep separate keys until confirmed
